Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Trey-Moore,Trey-Moore,3,1,4,4.0,3.0,1.0,8.0,4.409090909090909,0.0,0.0010985993,0.0010023388,5,6.55339643993126E-4,0,6,0.25,0.017435262367283294
Guo-Lieheng,Guo-Lieheng,0,1,1,2.0,0.0,2.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,148,0.0,0.0
Vishvender-Rawat,Vishvender-Rawat,1,2,3,4.0,1.0,3.0,8.0,4.403030303030303,0.16666666666666666,5.4929964E-4,6.6822587E-4,6,5.493927470639844E-4,0,6,0.33333334,0.0025127685140893473
Julien-Lambert,Julien-Lambert,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,149,0.0,0.0
Ronak-Mehta,Ronak-Mehta,0,5,5,5.0,0.0,5.0,6.0,2.900302114803625,0.0,0.0,3.3411293E-4,2,5.367386671337139E-4,0,150,0.35,0.0
Christian-Del-Moral,Christian-Del-Moral,0,1,1,2.0,0.0,2.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,151,0.0,0.0
Wang-Yihao,Wang-Yihao,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,152,0.0,0.0
Hamza-Riaz,Hamza-Riaz,0,1,1,2.0,0.0,2.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,153,0.0,0.0
Mahesh-Kale,Mahesh-Kale,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,154,0.0,0.0
Jason-Salisbury,Jason-Salisbury,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,155,0.0,0.0
Kelly-Zhang,Kelly-Zhang,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,156,0.0,0.0
Joshua-Stuart,Joshua-Stuart,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,157,0.0,0.0
Farrukh-Mehmood,Farrukh-Mehmood,1,1,2,2.0,1.0,1.0,8.0,4.409090909090909,0.0,5.4929964E-4,6.6822587E-4,0,6.024987004195687E-4,0,6,0.5,0.007130350559242462
Eric-Wu,Eric-Wu,2,2,4,4.0,2.0,2.0,7.0,4.363636363636363,1431.5,8.2394946E-4,0.0010023388,6,0.0012102936019759087,0,6,0.25,0.008506259726938772
Moh-Magdy,Moh-Magdy,0,1,1,2.0,0.0,2.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,158,0.0,0.0
Naresh-Kumar,Naresh-Kumar,0,3,3,4.0,0.0,4.0,7.0,3.0572289156626504,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,159,0.33333334,0.0
