Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Cheenu-Madan,Cheenu-Madan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,1,5.817712104970127E-4,0,1000,0.0,0.0029676092115891372
Vignesh-Chandrasekaran,Vignesh-Chandrasekaran,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,1,5.817712104970127E-4,0,1001,0.0,0.0029676092115891372
Virali-Modi,Virali-Modi,7,0,7,9.0,9.0,0.0,0.0,0.0,0.0,0.002034588,0.0,0,9.857163495785926E-4,0,10,0.04761905,0.31456657642844854
Fathi-Chaima,Fathi-Chaima,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,11,0.0,0.2967609211589137
Mary-Moore,Mary-Moore,3,0,3,5.0,5.0,0.0,0.0,0.0,0.0,0.001017294,0.0,0,5.342145956416354E-4,0,12,0.16666667,0.30269613958209196
Drew-Pavilonis,Drew-Pavilonis,5,0,5,7.0,7.0,0.0,0.0,0.0,0.0,0.001525941,0.0,0,8.676889797560632E-4,0,13,0.05,0.30863135800527025
Adamagathar-Adamagathar,Adamagathar-Adamagathar,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,14,0.0,0.2967609211589137
Nina-Walker,Nina-Walker,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,15,0.0,0.2967609211589137
Abhishek-Mishra,Abhishek-Mishra,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,16,0.0,0.2967609211589137
Anthonia-Orji,Anthonia-Orji,0,10,10,10.0,0.0,10.0,4.0,2.0454086781029264,0.0,0.0,0.004854369,2,4.7981039363461823E-4,0,1010,0.0,0.0
Nadia-Thomas,Nadia-Thomas,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1003,0.0,0.0029676092115891372
Raymond-Njoku,Raymond-Njoku,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1004,0.0,0.0029676092115891372
Ogbonnaya-Odizia,Ogbonnaya-Odizia,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1005,0.0,0.0029676092115891372
Christian-Amaonwu,Christian-Amaonwu,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1006,0.0,0.0029676092115891372
Muyiwa-Saka,Muyiwa-Saka,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1007,0.0,0.0029676092115891372
Lavard-Isa,Lavard-Isa,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1008,0.0,0.0029676092115891372
Joel-Patenaude,Joel-Patenaude,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,2,5.205947203795761E-4,0,1009,0.0,0.0029676092115891372
